;movie_title;HCA
348;The Alamo ;21
349;The Incredibles ;126
350;Cutthroat Island ;76
351;Percy Jackson & the Olympians: The Lightning Thief ;124
352;Men in Black ;90
353;Toy Story 2 ;122
354;Unstoppable ;144
355;Rush Hour 2 ;80
356;What Lies Beneath ;56
357;Cloudy with a Chance of Meatballs ;129
358;Ice Age: Dawn of the Dinosaurs ;128
359;The Secret Life of Walter Mitty ;146
360;Charlie's Angels ;76
361;The Departed ;64
362;Mulan ;119
363;Tropic Thunder ;77
364;The Girl with the Dragon Tattoo ;50
365;Die Hard with a Vengeance ;135
366;Sherlock Holmes ;46
367;Ben-Hur ;152
368;Atlantis: The Lost Empire ;126
369;Alvin and the Chipmunks: The Road Chip ;120
370;Valkyrie ;31
371;You Don't Mess with the Zohan ;77
372;Pixels ;157
373;A.I. Artificial Intelligence ;149
374;The Haunted Mansion ;124
375;Contact ;23
376;Hollow Man ;4
377;The Interpreter ;45
378;Percy Jackson: Sea of Monsters ;124
379;Lara Croft Tomb Raider: The Cradle of Life ;160
380;Now You See Me 2 ;76
381;The Saint ;161
382;Spy Game ;58
383;Mission to Mars ;143
384;Rio ;121
385;Bicentennial Man ;88
386;Volcano ;141
387;The Devil's Own ;57
388;K-19: The Widowmaker ;31
390;Conan the Barbarian ;146
391;Cinderella Man ;117
392;The Nutcracker in 3D ;119
393;Seabiscuit ;38
394;Twister ;27
396;Cast Away ;154
397;Happy Feet ;106
398;The Bourne Supremacy ;46
399;Air Force One ;27
400;Ocean's Eleven ;67
401;The Three Musketeers ;161
402;Hotel Transylvania ;131
403;Enchanted ;120
404;Hannibal             ;65
405;Safe House ;46
406;102 Dalmatians ;134
407;Tower Heist ;79
408;The Holiday ;82
409;Enemy of the State ;49
410;It's Complicated ;100
411;Ocean's Thirteen ;67
412;Open Season ;132
413;Divergent ;48
414;Enemy at the Gates ;31
415;The Rundown ;145
416;Last Action Hero ;78
417;Memoirs of a Geisha ;101
418;The Fast and the Furious: Tokyo Drift ;58
419;Arthur Christmas ;122
420;Meet Joe Black ;111
421;Collateral Damage ;28
422;All That Jazz ;96
423;Mirror Mirror ;133
424;Scott Pilgrim vs. the World ;78
425;The Core ;137
426;Nutty Professor II: The Klumps ;86
427;Scooby-Doo ;51
428;Dredd ;156
429;Click ;110
430;Creepshow ;113
431;Cats & Dogs: The Revenge of Kitty Galore ;128
432;Jumper ;137
433;Hellboy II: The Golden Army ;2
434;Zodiac ;50
435;The 6th Day ;48
436;Bruce Almighty ;114
437;The Expendables ;135
438;Mission: Impossible ;135
